#Value	g	N	alpha	beta	alarms	Test-Run
42311	0	69274	27821	50912	0	76
49663	0	71078	28545	52238	0	77
49663	0	71078	28545	52238	0	78
18103	0	73707	29601	54170	0	79
32518	0	72275	29026	53118	0	80
33355	0	72710	29201	53437	0	81
100025	46207	73227	29408	53817	0	82
2058	0	82019	32939	60279	0	83
44650	0	78174	31395	57453	0	84
157	0	79824	32058	58666	0	85
1283	0	75853	30463	55747	0	86
168215	115137	72220	29004	53077	1	87
12505	61827	89552	35964	65815	1	88
6351	4509	86631	34791	63668	1	89
29167	0	83090	33369	61066	1	90
12764	0	82567	33159	60681	1	91
12764	0	82567	33159	60681	1	92
65208	6392	80027	32139	58815	1	93
3328	0	84144	33793	61841	1	94
4972	0	80352	32269	59053	1	95
200002	143445	76953	30905	56556	2	96
3171	74588	98006	39359	72028	2	97
3954	9825	93500	37550	68717	2	98
25506	0	89317	35870	65643	2	99
7315	0	88027	35352	64694	2	100
7315	0	88027	35352	64694	2	101
140386	78256	84536	33950	62129	2	102
5409	11797	97787	39272	71868	2	103
33795	0	93571	37579	68769	2	104
3241	0	93100	37389	68423	2	105
6103	0	88849	35682	65298	2	106
8262	0	85166	34203	62592	2	107
16944	0	81936	32906	60218	2	108
20079	0	79949	32108	58758	2	109
4865	0	78451	31506	57657	2	110
4865	0	78451	31506	57657	2	111
1951	0	75135	30174	55219	2	112
173537	120899	71621	28763	52637	3	113
2195	57210	89645	36002	65884	3	114
71871	66290	85436	34311	62790	3	115
54312	54375	90112	36189	66227	3	116
7563	0	92368	37095	67885	3	117
59971	0	88692	35619	65183	3	118
101400	33988	91723	36836	67411	3	119
6590	0	99761	40065	73318	3	120
11072	0	95594	38391	70256	3	121
5617	0	92193	37025	67756	3	122
7269	0	88282	35454	64882	3	123
115408	53104	84773	34045	62303	3	124
12631	0	94903	38113	69748	3	125
14575	0	91730	36839	67416	3	126
18386	0	88958	35726	65379	3	127
93833	30040	86799	34859	63792	3	128
66034	26885	94141	37808	69188	3	129
113165	68279	97656	39219	71771	3	130
3046	0	106862	42916	78537	3	131
26187	0	101898	40923	74889	3	132
9490	0	100063	40186	73540	3	133
9819	0	96242	38651	70732	3	134
119643	51549	92652	37209	68093	3	135
753	0	102915	41331	75636	3	136
56628	0	97863	39302	71923	3	137
85414	11905	100020	40168	73508	3	138
6682	0	105653	42431	77648	3	139
87472	13094	101202	40643	74377	3	140
102637	37068	107032	42985	78662	3	141
55488	8435	114459	45967	84120	3	142
13224	0	115644	46443	84991	3	143
16750	0	111508	44782	81952	3	144
46396	0	108018	43381	79387	3	145
6444	0	108394	43531	79663	3	146
1781	0	103776	41677	76269	3	147
19391	0	98809	39682	72619	3	148
75512	4749	96283	38668	70762	3	149
14397	0	100870	40510	74133	3	150
21985	0	97619	39204	71744	3	151
20201	0	95475	38343	70168	3	152
4685	0	93216	37436	68508	3	153
37569	0	89139	35798	65511	3	154
1216	0	89359	35887	65673	3	155
150360	87858	85042	34153	62501	4	156
6672	21396	99510	39964	73134	4	157
31102	0	95365	38299	70088	4	158
4881	0	94469	37939	69429	4	159
54502	0	90353	36286	66404	4	160
25492	0	92621	37197	68071	4	161
29163	0	91164	36612	67000	4	162
14798	0	90236	36239	66318	4	163
11346	0	87567	35167	64356	4	164
8418	0	84601	33976	62177	4	165
3159	0	81419	32698	59838	4	166
155043	97907	77741	31221	57135	5	167
55167	84609	93157	37412	68465	5	168
5855	20374	95368	38300	70089	5	169
3657	0	91328	36678	67121	5	170
148674	84574	87217	35027	64099	5	171
331342	341418	101366	40709	74498	6	172
44131	284457	137550	55241	101091	6	173
2451	186834	136167	54685	100074	6	174
883	92422	129663	52073	95295	6	175
15801	17611	123290	49514	90611	6	176
16236	0	119093	47828	87526	6	177
107790	23154	115160	46249	84635	6	178
58059	0	122821	49326	90266	6	179
6007	0	123909	49762	91065	6	180
61796	0	118461	47574	87062	6	181
3230	0	120232	48285	88363	6	182
54721	0	114622	46033	84240	6	183
15095	0	115704	46467	85035	6	184
105537	23371	111798	44898	82165	6	185
212045	147703	119347	47930	87713	7	186
128063	173036	139780	56136	102729	7	187
73742	137467	148734	59732	109311	7	188
19700	46574	150478	60433	110592	7	189
77054	16762	145407	58396	106865	7	190
6912	0	147730	59329	108573	7	191
89446	0	141204	56708	103776	7	192
62284	0	145280	58345	106772	7	193
216564	109431	145770	58542	107132	7	194
42411	30250	165444	66443	121591	7	195
60430	0	162452	65241	119392	7	196
6276	0	161853	65001	118952	7	197
129646	16066	154541	62065	113579	7	198
103327	0	162955	65444	119762	7	199
21093	0	167672	67338	123228	7	200
136811	17813	161914	65025	118997	7	201
131236	23483	170851	68615	125565	7	202
35746	0	178648	71746	131295	7	203
31581	0	174166	69946	128001	7	204
3077	0	169389	68027	124491	7	205
99629	0	161303	64780	118548	7	206
3435	0	165641	66522	121736	7	207
127201	11236	157787	63368	115964	7	208
47927	0	165734	66560	121804	7	209
19971	0	163414	65628	120100	7	210
20967	0	157730	63345	115922	7	211
238748	126703	152454	61226	112044	7	212
218294	216709	174555	70102	128287	8	213
59954	134815	193005	77512	141847	8	214
32563	27137	190819	76634	140240	8	215
90373	0	185332	74430	136208	8	216
4353	0	187317	75227	137667	8	217
47416	0	178493	71684	131182	8	218
76682	0	175472	70470	128961	8	219
326079	196549	176245	70781	129529	9	220
68450	112109	208030	83546	152889	9	221
29847	0	206150	82791	151508	9	222
61448	0	199558	80144	146663	9	223
99439	0	197231	79209	144953	9	224
79797	0	199749	80220	146804	9	225
1927	0	199697	80199	146765	9	226
84130	0	189952	76286	139603	9	227
55898	0	190928	76678	140321	9	228
101641	0	188341	75639	138419	9	229
21634	0	191578	76939	140798	9	230
5732	0	184693	74174	135738	9	231
96647	0	176172	70751	129476	9	232
20433	0	179396	72046	131845	9	233
339460	212337	172970	69465	127122	10	234
8662	69171	206584	82965	151827	10	235
264	0	197333	79250	145028	10	236
