#Value	p (wmw)	alarms (wmw)	p (ks)	alarms (ks)	p (pcs)	alarms (pcs)	Slevel	Test-Run
6682	0,308861	0	0,588598	0	1	0	0.01	139
87472	0,331166	0	0,642544	0	1	0	0.01	140
102637	0,102311	0	0,207263	0	0,507122	0	0.01	141
55488	0,0771569	0	0,0493208	0	0,507122	0	0.01	142
13224	0,0632025	0	0,0493208	0	0,507122	0	0.01	143
16750	0,0546646	0	0,0493208	0	0,507122	0	0.01	144
46396	0,0849585	0	0,114758	0	0,507122	0	0.01	145
6444	0,0491447	0	0,114758	0	0,507122	0	0.01	146
1781	0,214702	0	0,484112	0	1	0	0.01	147
19391	0,354087	0	0,925779	0	1	0	0.01	148
75512	0,154112	0	0,389056	0	0,507122	0	0.01	149
14397	0,283707	0	0,389056	0	1	0	0.01	150
21985	0,44624	0	0,435128	0	1	0	0.01	151
20201	0,545529	0	0,435128	0	1	0	0.01	152
4685	0,630327	0	0,588598	0	1	0	0.01	153
37569	0,541405	0	0,925779	0	0,507122	0	0.01	154
1216	0,803058	0	0,588598	0	1	0	0.01	155
150360	0,52901	0	0,88993	0	0,507122	0	0.01	156
6672	0,401472	0	0,847281	0	0,507122	0	0.01	157
31102	0,354087	0	0,847281	0	0,507122	0	0.01	158
4881	0,657446	0	0,748719	0	1	0	0.01	159
54502	0,524872	0	0,847281	0	0,507122	0	0.01	160
25492	0,524872	0	0,88993	0	0,507122	0	0.01	161
29163	0,487558	0	0,748719	0	0,507122	0	0.01	162
14798	0,369673	0	0,748719	0	0,507122	0	0.01	163
11346	0,5	0	0,974351	0	1	0	0.01	164
8418	0,365755	0	0,79946	0	1	0	0.01	165
3159	0,740421	0	0,484112	0	0,507122	0	0.01	166
155043	0,454471	0	0,953965	0	1	0	0.01	167
55167	0,433937	0	0,953965	0	1	0	0.01	168
5855	0,417634	0	0,953965	0	1	0	0.01	169
3657	0,680068	0	0,847281	0	0,507122	0	0.01	170
148674	0,549647	0	0,925779	0	0,507122	0	0.01	171
331342	0,393451	0	0,484112	0	0,507122	0	0.01	172
44131	0,301575	0	0,484112	0	1	0	0.01	173
2451	0,413579	0	0,484112	0	1	0	0.01	174
883	0,52901	0	0,306735	0	1	0	0.01	175
15801	0,369673	0	0,484112	0	1	0	0.01	176
16236	0,590466	0	0,847281	0	0,507122	0	0.01	177
107790	0,52901	0	0,748719	0	0,507122	0	0.01	178
58059	0,305209	0	0,748719	0	1	0	0.01	179
6007	0,266363	0	0,748719	0	1	0	0.01	180
61796	0,316224	0	0,748719	0	1	0	0.01	181
3230	0,680068	0	0,88993	0	0,507122	0	0.01	182
54721	0,668834	0	0,88993	0	0,507122	0	0.01	183
15095	0,516587	0	0,925779	0	0,507122	0	0.01	184
105537	0,194071	0	0,435128	0	1	0	0.01	185
212045	0,0771569	0	0,155668	0	0,507122	0	0.01	186
128063	0,0292225	0	0,027948	0	0,184625	0	0.01	187
73742	0,0385659	0	0,0339467	0	0,184625	0	0.01	188
19700	0,0632025	0	0,180054	0	0,184625	0	0.01	189
77054	0,0156875	0	0,0339467	0	0,0465937	0	0.01	190
6912	0,0491447	0	0,207263	0	0,184625	0	0.01	191
89446	0,00792783	1	0,0410231	0	0,0465937	0	0.01	192
62284	0,00666916	1	0,0121843	0	0,0465937	0	0.01	193
216564	0,00128373	1	0,00101182	0	0,0079709	1	0.01	194
42411	0,00266377	1	0,0121843	0	0,0079709	1	0.01	195
60430	0,00686581	1	0,018653	0	0,0079709	1	0.01	196
6276	0,041248	1	0,133961	0	0,0465937	1	0.01	197
129646	0,0360277	1	0,155668	0	0,0465937	1	0.01	198
103327	0,0173993	1	0,027948	0	0,0465937	1	0.01	199
21093	0,0299215	1	0,133961	0	0,0465937	1	0.01	200
136811	0,00559049	2	0,0228918	0	0,0079709	2	0.01	201
131236	0,00481305	2	0,027948	0	0,0079709	2	0.01	202
35746	0,00748682	2	0,027948	0	0,0079709	2	0.01	203
31581	0,0265605	2	0,0339467	0	0,0465937	2	0.01	204
3077	0,0817697	2	0,180054	0	0,0465937	2	0.01	205
99629	0,0713176	2	0,180054	0	0,184625	2	0.01	206
3435	0,0882395	2	0,180054	0	0,184625	2	0.01	207
127201	0,0865874	2	0,180054	0	0,184625	2	0.01	208
